      7140 <= x < 7170; y = -3966.0000 +     0.5667x; interpolation
      7170 <= x < 7200; y =  1032.0000 +    -0.1333x; interpolation
      7200 <= x < 7230; y = -1358.0000 +     0.2000x; interpolation
      7230 <= x < 7260; y =  1762.0000 +    -0.2333x; interpolation
      7260 <= x < 7290; y =  3208.0000 +    -0.4333x; interpolation
      7290 <= x < 7320; y = -4294.0000 +     0.6000x; interpolation
      7320 <= x < 7350; y =  4454.0000 +    -0.6000x; interpolation
      7350 <= x < 7380; y =  -182.0000 +     0.0333x; interpolation
      7380 <= x < 7410; y = -4347.0000 +     0.6000x; interpolation
      7410 <= x < 7440; y =  4509.0000 +    -0.6000x; interpolation
      7440 <= x < 7470; y = -4630.0000 +     0.6333x; interpolation
      7470 <= x < 7500; y =   826.0000 +    -0.1000x; interpolation
      7500 <= x < 7530; y =  -170.0000 +     0.0333x; interpolation
      7530 <= x < 7560; y =  1330.0000 +    -0.1667x; interpolation
      7560 <= x < 7590; y =  3338.0000 +    -0.4333x; interpolation
      7590 <= x < 7620; y =  -190.0000 +     0.0333x; interpolation
      7620 <= x < 7650; y = -3732.0000 +     0.5000x; interpolation
      7650 <= x < 7680; y =    78.0000 +     0.0000x; interpolation
      7680 <= x < 7710; y =  -432.0000 +     0.0667x; interpolation
      7710 <= x < 7740; y =   592.0000 +    -0.0667x; interpolation
      7740 <= x < 7770; y =  4190.0000 +    -0.5333x; interpolation
      7770 <= x < 7800; y =  -454.0000 +     0.0667x; interpolation
      7800 <= x < 7830; y = -4339.0000 +     0.5667x; interpolation
      7830 <= x < 7860; y =  4501.0000 +    -0.5667x; interpolation
      7860 <= x < 7890; y = -4895.0000 +     0.6333x; interpolation
      7890 <= x < 7920; y =  1393.0000 +    -0.1667x; interpolation
      7920 <= x < 7950; y =  -448.0000 +     0.0667x; interpolation
      7950 <= x < 7980; y =   344.0000 +    -0.0333x; interpolation
      7980 <= x < 8010; y =  4584.0000 +    -0.5667x; interpolation
      8010 <= x < 8040; y = -4726.0000 +     0.6000x; interpolation
